node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid,label_guid
1080,Wall,A70568F8-8260-4E9A-3941-32890C18C0D2,2.00,0.10,3.80,DRYWALL,0,-1.92,-15.56,0.0,-1.38,-13.59,3.8,F20CFD1A-D864-055D-DB00-1D103D10B0B8,,,,,,,,,
1081,Wall,D9EA7C2F-CCC2-489D-AE26-3D00450854DD,1.30,0.30,3.80,DRYWALL,0,-8.15,-7.1,0.0,-6.81,-6.53,3.8,,,,,,,,,,
1082,Wall,F901253F-E578-9FB1-3101-D30C45464C45,2.00,0.10,3.80,DRYWALL,0,-8.68,-6.83,0.0,-8.15,-4.86,3.8,F07C8AD9-9082-7FEA-B60C-AECBAEB63014,,,,,,,,,
1083,Wall,FA6C280E-D38B-7887-A253-9E16C1B9E849,2.00,0.10,3.80,DRYWALL,0,10.45,-8.9,0.0,12.42,-8.37,3.8,ACE575D2-4CFE-2D55-5A58-7B19AC092A4B,,,,,,,,,
1084,Wall,02744030-FF81-4E05-BED5-E5FC32B3908A,2.05,0.10,3.80,DRYWALL,0,9.9,-8.83,0.0,10.45,-6.81,3.8,,,,,,,,,,
1085,Wall,85E953AC-00CF-F059-B569-30FAB81B8773,2.00,0.10,3.80,DRYWALL,0,-1.94,-25.82,0.0,-1.4,-23.85,3.8,B71EEF75-C71D-62D4-3CFF-8A15872CF2FB,,,,,,,,,
1086,Wall,02197F0E-7A0B-4713-A469-25AEA7DF68E8,0.99,0.10,3.80,DRYWALL,0,-2.83,-24.06,0.0,-1.85,-23.75,3.8,,,,,,,,,,
1087,Wall,380A55D9-23FA-CB5C-C463-C5486C6E7523,2.00,0.10,3.80,DRYWALL,0,14.39,-26.32,0.0,16.36,-25.78,3.8,89F49B6E-2A28-0556-8E67-879A67470D05,,,,,,,,,
1088,Wall,3990794A-732B-C643-EEC4-EA1245730274,2.00,0.10,3.80,DRYWALL,0,14.87,-28.41,0.0,16.84,-27.87,3.8,0E1A2BE3-513A-32C0-435C-C8F951AF33DC,,,,,,,,,
1089,Wall,5E192C95-1845-439E-877B-18F6C5653EE8,2.05,0.10,3.80,DRYWALL,0,14.32,-28.34,0.0,14.87,-26.32,3.8,,,,,,,,,,
1090,Wall,05C2D6CE-2359-0892-1949-182EB6538EDA,2.00,0.10,3.80,DRYWALL,0,-16.15,1.85,0.0,-15.61,3.82,3.8,E682EE18-B763-B150-3223-1026A817AD22,,,,,,,,,
1091,Wall,78EFAC45-0B2F-4B2D-A8AC-1AFEB44A5AAE,3.40,0.26,4.00,PAREDE 31cm,0,-24.49,-3.84,0.0,-23.49,-0.46,4.0,,,,,,,,,,
1092,Wall,2C72CF0B-B67C-4214-BBEF-F589D6AE2418,15.12,0.26,7.20,PAREDE 29cm,0,-35.7,-38.22,0.0,-32.11,-23.41,7.2,,,,,,,,,,
1093,Wall,0139D192-0754-49F8-9F00-A2E55553F261,21.04,0.26,11.20,PAREDE 29cm,0,-40.35,-23.46,0.0,-35.45,-2.89,11.2,"0A2DCD29-229A-4287-841F-D8FE1746CCA5, 640AD484-33BC-44A6-AF70-D6A308415FC2",,,,,,,,,
1094,Wall,01F32BE4-1F16-4709-B754-545CA75769AC,2.00,0.10,3.80,DRYWALL,0,-6.47,-16.59,0.0,-5.94,-14.62,3.8,1881ED4D-A229-8508-EBB7-B035F1656D9C,,,,,,,,,
1095,Wall,3E6143A8-609E-D906-D7A8-7D290FF39EF2,2.00,0.10,3.80,DRYWALL,0,7.77,2.94,0.0,9.74,3.48,3.8,83A01B7F-D600-96DE-DDE8-8ECEF0F907B1,,,,,,,,,
1096,Wall,4D512907-FEF5-46D4-BE2C-40E61409B068,1.02,0.10,3.80,DRYWALL,0,7.7,1.92,0.0,8.01,2.94,3.8,,,,,,,,,,
1097,Wall,8BC3F74A-A941-43C0-8313-8B310BBD0266,1.73,0.10,3.80,DRYWALL,0,-16.7,1.53,0.0,-14.99,2.01,3.8,,,,,,,,,,
